date,TEST,ARIMA1,ARIMA3,ARIMA7 ,ARIMA14,BP1,BP3,BP7,BP14,LSTM1,LSTM3,LSTM7,LSTM14,seq2seq1,seq2seq3,seq2seq7,seq2seq14
7/25/2014,1978.339966,1987.18742,1450.018357,1399.377415,1341.137114,1929.554565,1598.696777,1431.799438,1220.927734,1788.348633,1934.033813,1781.529175,1563.87439,1927.854614,1911.14978,1874.322632,1825.958496
7/28/2014,1978.910034,1979.340111,1459.54328,1400.463645,1341.085647,1919.331787,1585.422852,1427.493408,1221.026978,1782.13562,1916.9375,1774.756836,1565.414795,1919.606934,1894.893066,1860.351074,1818.67981
7/29/2014,1969.949951,1979.214356,1459.294708,1401.454532,1341.047705,1919.46875,1573.206055,1421.276245,1220.161621,1782.218872,1904.289429,1769.272583,1566.90625,1919.717529,1904.465576,1842.487061,1817.223999
7/30/2014,1970.069946,1970.748931,1459.619307,1401.203376,1341.012049,1874.697876,1565.94458,1419.13269,1223.50415,1754.919678,1895.622559,1765.831177,1570.026489,1883.450439,1870.463013,1864.074219,1836.319458
7/31/2014,1930.670044,1970.738432,1460.63127,1400.948801,1340.977284,1868.448975,1563.077515,1420.644043,1225.018677,1751.097656,1890.810181,1767.890869,1572.217041,1878.369263,1857.827271,1862.70459,1840.998901
8/1/2014,1925.150024,1934.43131,1460.24417,1400.842334,1340.9453,1884.126953,1561.389404,1421.844238,1227.54541,1760.681519,1890.028931,1767.76709,1574.426636,1891.108887,1876.238403,1839.749268,1845.305908
8/4/2014,1938.98999,1927.938717,1460.772824,1384.718776,1345.829881,1862.862061,1553.822632,1423.086304,1228.090088,1747.677734,1880.317505,1769.264648,1575.575928,1873.822144,1856.010376,1848.81604,1848.12793
8/5/2014,1920.209961,1938.799554,1456.387938,1387.208608,1345.112489,1862.895996,1557.105957,1426.1073,1230.3302,1747.69873,1885.467651,1773.56311,1577.430176,1873.849731,1863.108521,1855.851685,1859.130371
8/6/2014,1920.23999,1921.341213,1456.486936,1388.946578,1343.935324,1850.844482,1561.94458,1429.988159,1232.70874,1740.314087,1890.06311,1777.00415,1578.783081,1864.027954,1847.927979,1860.8125,1866.4375
8/7/2014,1909.569946,1922.715939,1456.440328,1389.140164,1343.978375,1875.739502,1567.888306,1435.285156,1234.348389,1755.556519,1897.185669,1783.308472,1580.078979,1884.297119,1867.20752,1870.009888,1864.561035
8/8/2014,1931.589966,1910.78504,1443.972243,1389.95195,1343.841652,1881.779785,1571.973389,1439.826538,1235.550293,1759.247803,1902.708374,1789.167114,1580.530396,1889.203369,1875.698364,1875.373413,1867.289063
8/11/2014,1936.920044,1930.134908,1444.234253,1389.35235,1343.92913,1878.186768,1577.090088,1444.934692,1237.352661,1757.052368,1908.320435,1794.051514,1581.272095,1886.285278,1870.791016,1878.872314,1878.646851
8/12/2014,1933.75,1936.084403,1443.900108,1389.020125,1343.973688,1892.899414,1582.535889,1449.986328,1238.311157,1766.036255,1914.590698,1799.968994,1581.523804,1898.224121,1881.061768,1882.958374,1874.491211
8/13/2014,1946.719971,1933.823496,1434.492308,1364.476767,1344.007247,1902.514038,1589.276611,1453.167236,1239.244141,1771.898071,1923.256836,1804.003906,1582.006348,1906.011597,1892.479004,1884.182617,1872.594604
8/14/2014,1955.180054,1946.215267,1435.07229,1368.400016,1343.969265,1902.377197,1596.56604,1456.931152,1240.197998,1771.814941,1931.325806,1808.195801,1581.924438,1905.901001,1889.801636,1901.960571,1874.930298
8/15/2014,1955.060059,1953.199961,1434.292062,1369.761238,1343.942243,1921.372681,1604.748535,1460.512451,1240.911133,1783.376709,1940.950928,1812.987915,1582.10022,1921.254883,1904.25354,1907.12793,1880.265015
8/18/2014,1971.73999,1954.555579,1433.444578,1371.273402,1343.90325,1932.626587,1610.176636,1463.044067,1242.20752,1790.213989,1947.466431,1815.327148,1582.434448,1930.330811,1913.608765,1906.101196,1876.75
8/19/2014,1981.599976,1970.560743,1433.711795,1372.333916,1343.868762,1938.237671,1611.865601,1464.147583,1241.330322,1793.619507,1949.128784,1816.752686,1581.770996,1934.850464,1916.0354,1905.357666,1869.149048
8/20/2014,1986.51001,1979.591051,1433.262599,1371.231569,1343.837123,1944.940308,1614.921509,1465.316895,1241.164185,1797.68457,1953.331543,1818.38562,1581.138062,1940.244507,1924.591187,1912.635132,1875.596313
